Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Pressure Gradient [Pa/m],Model Prediction Pressure Gradient [Pa/m]
Perez (2008),Water,0.05,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,111.744619479631,31.8521412018094
Perez (2008),Water,0.05,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,0.0,0.072,139.198396581069,49.7434201818457
Perez (2008),Water,0.05,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,0.0,0.072,173.116751592018,76.1465420654202
Perez (2008),Water,0.06,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,11.3909553174229,2.10213569181681
Perez (2008),Water,0.06,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,12.938699979321,3.94552355440315
Perez (2008),Water,0.06,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,7.98209939712735,6.0318936831159
Perez (2008),Water,0.06,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,14.4148634389731,8.88276347872008
Perez (2008),Water,0.06,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,9.43758384279713,12.1270593101603
Perez (2008),Water,0.06,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,22.3858279824176,16.6132131420186
Perez (2008),Water,0.06,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,33.708383484361,21.7050293756352
Perez (2008),Water,0.06,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,80.7674565343032,34.186868394808
Perez (2008),Water,0.06,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,0.0,0.072,114.751029973965,52.6914273357558
Perez (2008),Water,0.06,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,0.0,0.072,171.495835034491,344.766302034805
Perez (2008),Water,0.08,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,13.0214160352499,3.26562555348518
Perez (2008),Water,0.08,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,12.9402906727043,5.53045022491426
Perez (2008),Water,0.08,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,21.0257851397424,7.98588637838639
Perez (2008),Water,0.08,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,33.9819827462792,11.2568453590837
Perez (2008),Water,0.08,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,32.2624431989906,14.9086330063041
Perez (2008),Water,0.08,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,56.628684443549,19.8816245000885
Perez (2008),Water,0.08,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,61.430987767568,25.4557552185911
Perez (2008),Water,0.08,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,110.118930841953,38.9303133168777
