Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Pressure Gradient [Pa/m],Model Prediction Pressure Gradient [Pa/m]
"BARBOSA, Mariana R. et al.",Water,0.23,0.0009544,997.8,Air,19.09,1.822e-05,1.35629119142728,0.026,90.0,0.072,3400.0,3229.97402143722
"BARBOSA, Mariana R. et al.",Water,0.35,0.0009544,997.8,Air,17.33,1.822e-05,1.42446455819214,0.026,90.0,0.072,4100.0,4076.48786444185
"BARBOSA, Mariana R. et al.",Water,0.62,0.0009544,997.8,Air,24.61,1.822e-05,1.77477368658223,0.026,90.0,0.072,7600.0,8334.58131278977
"BARBOSA, Mariana R. et al.",Water,0.58,0.0009544,997.8,Air,11.09,1.822e-05,1.45444384343846,0.026,90.0,0.072,4600.0,21011.6450983199
"BARBOSA, Mariana R. et al.",Water,0.59,0.0009544,997.8,Air,9.76,1.822e-05,1.57879886286966,0.026,90.0,0.072,4800.0,17452.2517660273
"BARBOSA, Mariana R. et al.",Water,1.2,0.0009544,997.8,Air,14.36,1.822e-05,2.10010794584585,0.026,90.0,0.072,9900.0,33731.4590514212
"BARBOSA, Mariana R. et al.",Water,1.28,0.0009544,997.8,Air,9.09,1.822e-05,1.90384985329631,0.026,90.0,0.072,7800.0,18051.1994044421
"BARBOSA, Mariana R. et al.",Water,1.99,0.0009544,997.8,Air,8.11,1.822e-05,2.12687685093981,0.026,90.0,0.072,10000.0,17972.3579463758
"BARBOSA, Mariana R. et al.",Water,2.03,0.0009544,997.8,Air,5.39,1.822e-05,2.06739039517545,0.026,90.0,0.072,9500.0,13583.515452757
"BARBOSA, Mariana R. et al.",Water,2.09,0.0009544,997.8,Air,3.06,1.822e-05,1.96508313355533,0.026,90.0,0.072,9400.0,11057.9308819255
"BARBOSA, Mariana R. et al.",Water,2.09,0.0009544,997.8,Air,11.02,1.822e-05,2.51962909340303,0.026,90.0,0.072,13200.0,26231.1981531267
"BARBOSA, Mariana R. et al.",Water,2.69,0.0009544,997.8,Air,7.71,1.822e-05,2.44522381222476,0.026,90.0,0.072,12900.0,19273.1537563215
"BARBOSA, Mariana R. et al.",Water,2.79,0.0009544,997.8,Air,4.76,1.822e-05,2.30269237575445,0.026,90.0,0.072,12200.0,14578.3692158981
"BARBOSA, Mariana R. et al.",Water,0.22,0.0009544,997.8,Air,21.06,1.822e-05,1.40307776100067,0.026,90.0,0.072,3200.0,3387.68740078781
"BARBOSA, Mariana R. et al.",Water,0.24,0.0009544,997.8,Air,20.19,1.822e-05,1.41450293742525,0.026,90.0,0.072,3300.0,3484.55594022427
"BARBOSA, Mariana R. et al.",Water,0.35,0.0009544,997.8,Air,17.58,1.822e-05,1.48975802511444,0.026,90.0,0.072,4000.0,4150.05187027901
"BARBOSA, Mariana R. et al.",Water,0.65,0.0009544,997.8,Air,16.54,1.822e-05,1.7171284782582,0.026,90.0,0.072,6300.0,6354.16027879042
"BARBOSA, Mariana R. et al.",Water,1.2,0.0009544,997.8,Air,19.78,1.822e-05,2.34036713107188,0.026,90.0,0.072,11600.0,55360.2058211831
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,29.11,1.822e-05,2.90748904699437,0.032,90.0,0.072,5070.0,7031.43059158258
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,28.79,1.822e-05,2.91162005086689,0.032,90.0,0.072,5350.0,6956.90055538072
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,20.96,1.822e-05,2.89745660901824,0.032,90.0,0.072,4390.0,5156.78870642539
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,19.47,1.822e-05,2.8949484995242,0.032,90.0,0.072,4220.0,4853.31585365633
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,17.84,1.822e-05,2.89170271076722,0.032,90.0,0.072,4000.0,4542.30260182395
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,16.53,1.822e-05,2.89081749565168,0.032,90.0,0.072,3940.0,4313.27732919327
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,15.82,1.822e-05,2.88993228053614,0.032,90.0,0.072,3880.0,4198.2795821591
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,14.68,1.822e-05,2.88934213712578,0.032,90.0,0.072,3840.0,4030.84191043809
"BARBOSA, Mariana R. et al.",Water,0.199,0.0009544,997.8,Air,5.83,1.822e-05,2.86691668753207,0.032,90.0,0.072,2320.0,7843.20413015825
"BARBOSA, Mariana R. et al.",Water,0.199,0.0009544,997.8,Air,5.98,1.822e-05,2.86573640071135,0.032,90.0,0.072,2240.0,8018.23151277303
"BARBOSA, Mariana R. et al.",Water,0.199,0.0009544,997.8,Air,6.4,1.822e-05,2.8649987214484,0.032,90.0,0.072,2190.0,8510.75526655465
"BARBOSA, Mariana R. et al.",Water,0.199,0.0009544,997.8,Air,17.54,1.822e-05,2.87458855186676,0.032,90.0,0.072,2840.0,2861.24650644724
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,5.53,1.822e-05,2.87606391039266,0.032,90.0,0.072,2940.0,8001.73336617783
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,5.92,1.822e-05,2.87798187647633,0.032,90.0,0.072,3070.0,8440.9588318454
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,8.51,1.822e-05,2.87989984256001,0.032,90.0,0.072,3200.0,11411.8926421615
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,10.11,1.822e-05,2.88137520108591,0.032,90.0,0.072,3300.0,3730.81770141475
"BARBOSA, Mariana R. et al.",Water,0.401,0.0009544,997.8,Air,12.38,1.822e-05,2.88521113325325,0.032,90.0,0.072,3560.0,3781.29265202062
"BARBOSA, Mariana R. et al.",Water,0.29,0.0009544,997.8,Air,0.207,1.822e-05,1.69895206121909,0.026,90.0,0.072,8300.0,7315.4113534659
"BARBOSA, Mariana R. et al.",Water,0.33,0.0009544,997.8,Air,0.53,1.822e-05,1.5372999782531,0.026,90.0,0.072,6100.0,5856.81694019731
"BARBOSA, Mariana R. et al.",Water,0.35,0.0009544,997.8,Air,2.46,1.822e-05,1.35001206554104,0.026,90.0,0.072,3500.0,5455.23561268353
"BARBOSA, Mariana R. et al.",Water,0.37,0.0009544,997.8,Air,0.936,1.822e-05,1.4497699076284,0.026,90.0,0.072,4900.0,5250.8230177171
"BARBOSA, Mariana R. et al.",Water,0.39,0.0009544,997.8,Air,1.45,1.822e-05,1.4016614168158,0.026,90.0,0.072,4200.0,5089.54423106751
"BARBOSA, Mariana R. et al.",Water,0.58,0.0009544,997.8,Air,0.259,1.822e-05,1.72812875142732,0.026,90.0,0.072,8700.0,7990.40888935101
"BARBOSA, Mariana R. et al.",Water,0.6,0.0009544,997.8,Air,0.931,1.822e-05,1.52941566229068,0.026,90.0,0.072,6000.0,6192.33687663492
"BARBOSA, Mariana R. et al.",Water,0.61,0.0009544,997.8,Air,0.549,1.822e-05,1.61576544609465,0.026,90.0,0.072,7200.0,6947.71988740742
"BARBOSA, Mariana R. et al.",Water,0.64,0.0009544,997.8,Air,2.243,1.822e-05,1.44896731259031,0.026,90.0,0.072,4800.0,6303.35280063642
"BARBOSA, Mariana R. et al.",Water,0.28,0.0009544,997.8,Air,0.231,1.822e-05,1.63932397103625,0.026,90.0,0.072,6900.0,7080.61299361092
"BARBOSA, Mariana R. et al.",Water,0.3,0.0009544,997.8,Air,1.651,1.822e-05,1.37947202458624,0.026,90.0,0.072,3200.0,4747.17353857852
"BARBOSA, Mariana R. et al.",Water,0.61,0.0009544,997.8,Air,0.519,1.822e-05,1.63219503863909,0.026,90.0,0.072,6600.0,7033.96382011824
"BARBOSA, Mariana R. et al.",Water,0.61,0.0009544,997.8,Air,1.023,1.822e-05,1.56864839621146,0.026,90.0,0.072,5300.0,6133.44626360055
"BARBOSA, Mariana R. et al.",Water,0.79,0.0009544,997.8,Air,0.358,1.822e-05,1.70674195423585,0.026,90.0,0.072,7800.0,8111.52504802523
"BARBOSA, Mariana R. et al.",Water,0.88,0.0009544,997.8,Air,0.762,1.822e-05,1.71250175392097,0.026,90.0,0.072,6900.0,7356.21310197697
"BARBOSA, Mariana R. et al.",Water,1.18,0.0009544,997.8,Air,0.705,1.822e-05,1.84998156279859,0.026,90.0,0.072,8000.0,8262.97381573138
"BARBOSA, Mariana R. et al.",Water,0.3,0.0009544,997.8,Air,2.025,1.822e-05,1.39991459232114,0.026,90.0,0.072,3100.0,4929.54211080146
"BARBOSA, Mariana R. et al.",Water,0.63,0.0009544,997.8,Air,1.881,1.822e-05,1.52252278725767,0.026,90.0,0.072,4700.0,6075.30867750345
"BARBOSA, Mariana R. et al.",Water,1.2,0.0009544,997.8,Air,0.546,1.822e-05,1.74701334055886,0.026,90.0,0.072,8700.0,8587.67088809269
"BARBOSA, Mariana R. et al.",Water,1.24,0.0009544,997.8,Air,1.825,1.822e-05,1.69994350214849,0.026,90.0,0.072,7100.0,7962.28418123932
"BARBOSA, Mariana R. et al.",Water,1.25,0.0009544,997.8,Air,1.09,1.822e-05,1.69413649099055,0.026,90.0,0.072,7700.0,8058.18347831759
"BARBOSA, Mariana R. et al.",Water,2.13,0.0009544,997.8,Air,1.024,1.822e-05,1.87627835316426,0.026,90.0,0.072,10100.0,10200.5966756577
"BARBOSA, Mariana R. et al.",Water,2.13,0.0009544,997.8,Air,1.856,1.822e-05,1.8887893934639,0.026,90.0,0.072,9600.0,7486.81183881762
Lima (2011),Water,0.23,0.000893,997.0,Air,1.194,1.84e-05,1.18,0.026,0.0,0.072,140.0,754.523901365663
Lima (2011),Water,0.24,0.000893,997.0,Air,0.886,1.84e-05,1.18,0.026,0.0,0.072,130.0,506.341548767763
Lima (2011),Water,0.24,0.000893,997.0,Air,1.621,1.84e-05,1.18,0.026,0.0,0.072,180.0,1180.49365304192
Lima (2011),Water,0.3,0.000893,997.0,Air,0.418,1.84e-05,1.18,0.026,0.0,0.072,110.0,233.11611365082
Lima (2011),Water,0.3,0.000893,997.0,Air,0.617,1.84e-05,1.18,0.026,0.0,0.072,130.0,357.415269726339
Lima (2011),Water,0.3,0.000893,997.0,Air,1.943,1.84e-05,1.18,0.026,0.0,0.072,260.0,1607.81187390736
Lima (2011),Water,0.4,0.000893,997.0,Air,0.903,1.84e-05,1.18,0.026,0.0,0.072,230.0,656.072798743617
Lima (2011),Water,0.41,0.000893,997.0,Air,1.198,1.84e-05,1.18,0.026,0.0,0.072,300.0,935.797326752195
Lima (2011),Water,0.45,0.000893,997.0,Air,1.608,1.84e-05,1.18,0.026,0.0,0.072,380.0,1409.27751812074
Lima (2011),Water,0.5,0.000893,997.0,Air,0.417,1.84e-05,1.18,0.026,0.0,0.072,220.0,360.659874548679
Lima (2011),Water,0.5,0.000893,997.0,Air,0.614,1.84e-05,1.18,0.026,0.0,0.072,270.0,504.207574273714
Lima (2011),Water,0.51,0.000893,997.0,Air,1.829,1.84e-05,1.18,0.026,0.0,0.072,480.0,1737.53152417686
Lima (2011),Water,0.61,0.000893,997.0,Air,0.868,1.84e-05,1.18,0.026,0.0,0.072,400.0,818.310741552647
Lima (2011),Water,0.61,0.000893,997.0,Air,0.975,1.84e-05,1.18,0.026,0.0,0.072,440.0,920.173025340918
Lima (2011),Water,0.61,0.000893,997.0,Air,1.19,1.84e-05,1.18,0.026,0.0,0.072,490.0,1137.15988043643
Lima (2011),Water,0.61,0.000893,997.0,Air,1.617,1.84e-05,1.18,0.026,0.0,0.072,580.0,1610.82355106836
Lima (2011),Water,0.69,0.000893,997.0,Air,1.815,1.84e-05,1.18,0.026,0.0,0.072,710.0,1949.4076946763
Lima (2011),Water,0.7,0.000893,997.0,Air,0.414,1.84e-05,1.18,0.026,0.0,0.072,370.0,507.833431983984
Lima (2011),Water,0.7,0.000893,997.0,Air,0.611,1.84e-05,1.18,0.026,0.0,0.072,420.0,670.006136720523
Lima (2011),Water,0.84,0.000893,997.0,Air,1.139,1.84e-05,1.18,0.026,0.0,0.072,740.0,1337.03454656105
Lima (2011),Water,0.89,0.000893,997.0,Air,0.49,1.84e-05,1.18,0.026,0.0,0.072,570.0,735.147070656111
Lima (2011),Water,0.89,0.000893,997.0,Air,0.713,1.84e-05,1.18,0.026,0.0,0.072,650.0,944.482925374253
Lima (2011),Water,0.9,0.000893,997.0,Air,0.848,1.84e-05,1.18,0.026,0.0,0.072,720.0,1091.10976151803
Lima (2011),Water,0.91,0.000893,997.0,Air,0.412,1.84e-05,1.18,0.026,0.0,0.072,550.0,683.724417294591
Lima (2011),Water,0.91,0.000893,997.0,Air,0.606,1.84e-05,1.18,0.026,0.0,0.072,630.0,860.681888412071
Bueno (2010),Water,0.31,0.0009544,997.8,Air,0.608,1.822e-05,1.12009219286453,0.026,15.0,0.072,1700.0,1794.47995988976
Bueno (2010),Water,0.31,0.0009544,997.8,Air,1.506,1.822e-05,1.11183018511948,0.026,15.0,0.072,1300.0,2161.17436135938
Bueno (2010),Water,0.32,0.0009544,997.8,Air,0.891,1.822e-05,1.11419075876092,0.026,15.0,0.072,1500.0,1830.03565496278
Bueno (2010),Water,0.6,0.0009544,997.8,Air,0.305,1.822e-05,1.1354359215339,0.026,15.0,0.072,2400.0,2324.41918910463
Bueno (2010),Water,0.61,0.0009544,997.8,Air,1.19,1.822e-05,1.12481334014741,0.026,15.0,0.072,1900.0,2458.1797960689
Bueno (2010),Water,0.62,0.0009544,997.8,Air,0.602,1.822e-05,1.13071477425102,0.026,15.0,0.072,2200.0,2262.35290986312
Bueno (2010),Water,0.91,0.0009544,997.8,Air,0.891,1.822e-05,1.13897678199607,0.026,15.0,0.072,2500.0,2768.81375891114
Bueno (2010),Water,1.2,0.0009544,997.8,Air,1.17,1.822e-05,1.15314022384472,0.026,15.0,0.072,3000.0,3408.58736167036
Bueno (2010),Water,1.2,0.0009544,997.8,Air,2.035,1.822e-05,1.15668108430689,0.026,15.0,0.072,3000.0,4276.94943599206
Bueno (2010),Water,1.21,0.0009544,997.8,Air,0.58,1.822e-05,1.15314022384472,0.026,15.0,0.072,3000.0,3075.67553201757
Bueno (2010),Water,0.31,0.0009544,997.8,Air,0.87,1.822e-05,1.15432051066545,0.026,30.0,0.072,2700.0,2989.99503062264
Bueno (2010),Water,0.31,0.0009544,997.8,Air,1.431,1.822e-05,1.1850079680042,0.026,30.0,0.072,2300.0,3063.43385478162
Bueno (2010),Water,0.33,0.0009544,997.8,Air,0.567,1.822e-05,1.16022194476905,0.026,30.0,0.072,3200.0,3243.34300093414
Bueno (2010),Water,0.6,0.0009544,997.8,Air,0.312,1.822e-05,1.18028682072131,0.026,30.0,0.072,4300.0,4158.46122770561
Bueno (2010),Water,0.6,0.0009544,997.8,Air,0.59,1.822e-05,1.17084452615554,0.026,30.0,0.072,3700.0,3797.35579936684
Bueno (2010),Water,0.6,0.0009544,997.8,Air,1.145,1.822e-05,1.19799112303213,0.026,30.0,0.072,3100.0,3653.29581386931
Bueno (2010),Water,0.93,0.0009544,997.8,Air,0.838,1.822e-05,1.21215456488079,0.026,30.0,0.072,4100.0,4319.78528165557
Bueno (2010),Water,1.21,0.0009544,997.8,Air,0.574,1.822e-05,1.1850079680042,0.026,30.0,0.072,5000.0,4876.09767349699
Bueno (2010),Water,1.21,0.0009544,997.8,Air,1.914,1.822e-05,1.223957433088,0.026,30.0,0.072,4400.0,5401.47933871665
Bueno (2010),Water,1.22,0.0009544,997.8,Air,1.129,1.822e-05,1.19445026256997,0.026,30.0,0.072,4600.0,4913.59592437083
Bueno (2010),Water,0.32,0.0009544,997.8,Air,0.582,1.822e-05,1.1684839525141,0.026,45.0,0.072,4500.0,4378.91932225
Bueno (2010),Water,0.33,0.0009544,997.8,Air,0.87,1.822e-05,1.16612337887266,0.026,45.0,0.072,4000.0,4055.82144804206
Bueno (2010),Water,0.33,0.0009544,997.8,Air,1.391,1.822e-05,1.19563054939069,0.026,45.0,0.072,3400.0,3933.17119309349
Bueno (2010),Water,0.61,0.0009544,997.8,Air,0.271,1.822e-05,1.19445026256997,0.026,45.0,0.072,6200.0,5877.12142966764
Bueno (2010),Water,0.61,0.0009544,997.8,Air,0.566,1.822e-05,1.18264739436276,0.026,45.0,0.072,5200.0,5195.8426113221
Bueno (2010),Water,0.61,0.0009544,997.8,Air,1.127,1.822e-05,1.18854882846636,0.026,45.0,0.072,4300.0,4743.58539534535
Bueno (2010),Water,0.91,0.0009544,997.8,Air,0.859,1.822e-05,1.19445026256997,0.026,45.0,0.072,5400.0,5589.72554328151
Bueno (2010),Water,1.2,0.0009544,997.8,Air,0.545,1.822e-05,1.2074334175979,0.026,45.0,0.072,6600.0,6437.85019856233
Bueno (2010),Water,1.21,0.0009544,997.8,Air,1.092,1.822e-05,1.22631800672945,0.026,45.0,0.072,5900.0,6188.10248274941
Bueno (2010),Water,1.22,0.0009544,997.8,Air,1.912,1.822e-05,1.23694058811594,0.026,45.0,0.072,5500.0,6495.96793769967
Bueno (2010),Water,0.28,0.0009544,997.8,Air,0.582,1.822e-05,1.18854882846636,0.026,60.0,0.072,5600.0,5068.82119406819
Bueno (2010),Water,0.29,0.0009544,997.8,Air,1.389,1.822e-05,1.20389255713574,0.026,60.0,0.072,4000.0,4390.32128357635
Bueno (2010),Water,0.32,0.0009544,997.8,Air,0.847,1.822e-05,1.1850079680042,0.026,60.0,0.072,5000.0,4773.64502369206
Bueno (2010),Water,0.6,0.0009544,997.8,Air,0.256,1.822e-05,1.22159685944656,0.026,60.0,0.072,7700.0,7142.25847686652
Bueno (2010),Water,0.6,0.0009544,997.8,Air,0.546,1.822e-05,1.20507284395646,0.026,60.0,0.072,6500.0,6224.50522506356
Bueno (2010),Water,0.61,0.0009544,997.8,Air,1.084,1.822e-05,1.20389255713574,0.026,60.0,0.072,5400.0,5559.18012166354
Bueno (2010),Water,0.91,0.0009544,997.8,Air,0.852,1.822e-05,1.2180559989844,0.026,60.0,0.072,6600.0,6584.08903084131
Bueno (2010),Water,1.2,0.0009544,997.8,Air,0.551,1.822e-05,1.23339972765377,0.026,60.0,0.072,8000.0,7624.3305746396
Bueno (2010),Water,1.21,0.0009544,997.8,Air,1.085,1.822e-05,1.23339972765377,0.026,60.0,0.072,7100.0,7182.76855091961
Bueno (2010),Water,1.21,0.0009544,997.8,Air,1.824,1.822e-05,1.27234919273758,0.026,60.0,0.072,6600.0,7244.25135947412
Bueno (2010),Water,0.3,0.0009544,997.8,Air,1.455,1.822e-05,1.15786137112761,0.026,75.0,0.072,4200.0,4722.96769747192
Bueno (2010),Water,0.31,0.0009544,997.8,Air,0.859,1.822e-05,1.18146710754204,0.026,75.0,0.072,5600.0,5084.15213756036
Bueno (2010),Water,0.32,0.0009544,997.8,Air,0.576,1.822e-05,1.20035169667358,0.026,75.0,0.072,6600.0,5678.7010446838
Bueno (2010),Water,0.6,0.0009544,997.8,Air,0.548,1.822e-05,1.22159685944656,0.026,75.0,0.072,7600.0,6805.47344702379
Bueno (2010),Water,0.61,0.0009544,997.8,Air,0.278,1.822e-05,1.24520259586099,0.026,75.0,0.072,8800.0,7797.275577981
Bueno (2010),Water,0.61,0.0009544,997.8,Air,1.12,1.822e-05,1.19445026256997,0.026,75.0,0.072,6100.0,5987.59355111169
Bueno (2010),Water,0.9,0.0009544,997.8,Air,0.841,1.822e-05,1.21923628580512,0.026,75.0,0.072,7500.0,7157.54879412999
Bueno (2010),Water,1.21,0.0009544,997.8,Air,0.548,1.822e-05,1.24166173539882,0.026,75.0,0.072,8900.0,8384.7669834239
Bueno (2010),Water,1.21,0.0009544,997.8,Air,1.086,1.822e-05,1.23221944083305,0.026,75.0,0.072,8000.0,7784.81835522234
Bueno (2010),Water,1.21,0.0009544,997.8,Air,1.914,1.822e-05,1.223957433088,0.026,75.0,0.072,7000.0,7776.46534165804
Owen (1986),Water,0.199,0.0010016,998.2,Air,2.53,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2340.0,4519.72151315904
Owen (1986),Water,0.199,0.0010016,998.2,Air,2.6,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2290.0,4569.94824113114
Owen (1986),Water,0.199,0.0010016,998.2,Air,2.95,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2100.0,4847.17029871473
Owen (1986),Water,0.199,0.0010016,998.2,Air,3.16,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2050.0,5031.18364773556
Owen (1986),Water,0.199,0.0010016,998.2,Air,3.48,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2070.0,5331.93919063876
Owen (1986),Water,0.199,0.0010016,998.2,Air,3.87,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2050.0,5725.03699739166
Owen (1986),Water,0.199,0.0010016,998.2,Air,3.9,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2000.0,5756.28128083314
Owen (1986),Water,0.199,0.0010016,998.2,Air,4.85,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2410.0,6799.43809541477
Owen (1986),Water,0.199,0.0010016,998.2,Air,5.34,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2360.0,7365.83001122713
Owen (1986),Water,0.199,0.0010016,998.2,Air,5.83,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2320.0,7943.27092660577
Owen (1986),Water,0.199,0.0010016,998.2,Air,5.98,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2240.0,8121.5441280541
Owen (1986),Water,0.199,0.0010016,998.2,Air,6.4,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2190.0,8623.14405252486
Owen (1986),Water,0.199,0.0010016,998.2,Air,7.8,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2050.0,10302.2684598887
Owen (1986),Water,0.199,0.0010016,998.2,Air,9.07,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2020.0,11874.3784557722
Owen (1986),Water,0.199,0.0010016,998.2,Air,10.79,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2050.0,15320.5651192125
Owen (1986),Water,0.199,0.0010016,998.2,Air,11.81,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2120.0,2471.47430778546
Owen (1986),Water,0.199,0.0010016,998.2,Air,17.54,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2840.0,2880.83146372505
Owen (1986),Water,0.199,0.0010016,998.2,Air,28.33,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3510.0,4472.21588542258
Owen (1986),Water,0.199,0.0010016,998.2,Air,28.4,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3690.0,4483.91738689419
Owen (1986),Water,0.199,0.0010016,998.2,Air,31.28,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3610.0,4975.97636684051
Owen (1986),Water,0.199,0.0010016,998.2,Air,34.8,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3750.0,5602.92761682378
Owen (1986),Water,0.199,0.0010016,998.2,Air,34.97,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3940.0,5633.85801565839
Owen (1986),Water,0.401,0.0010016,998.2,Air,2.02,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3240.0,4961.30293923495
Owen (1986),Water,0.401,0.0010016,998.2,Air,2.55,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3010.0,5214.5411710969
Owen (1986),Water,0.401,0.0010016,998.2,Air,2.94,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2810.0,5485.6270098998
Owen (1986),Water,0.401,0.0010016,998.2,Air,3.44,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2750.0,5904.43484088911
Owen (1986),Water,0.401,0.0010016,998.2,Air,4.15,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2840.0,6592.01268266696
Owen (1986),Water,0.401,0.0010016,998.2,Air,5.28,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2900.0,7816.39181475235
Owen (1986),Water,0.401,0.0010016,998.2,Air,5.53,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2940.0,8099.88407181781
Owen (1986),Water,0.401,0.0010016,998.2,Air,5.74,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2940.0,8340.2341544393
Owen (1986),Water,0.401,0.0010016,998.2,Air,5.92,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3070.0,8547.56662285089
Owen (1986),Water,0.401,0.0010016,998.2,Air,6.21,1.813e-05,2.85201423273461,0.0318,90.0,0.072,2980.0,8883.63275262939
Owen (1986),Water,0.401,0.0010016,998.2,Air,6.45,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3030.0,9163.19878357225
Owen (1986),Water,0.401,0.0010016,998.2,Air,7.41,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3090.0,10287.6652332196
Owen (1986),Water,0.401,0.0010016,998.2,Air,8.51,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3200.0,11573.5714111256
Owen (1986),Water,0.401,0.0010016,998.2,Air,10.11,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3300.0,3752.13496175853
Owen (1986),Water,0.401,0.0010016,998.2,Air,12.38,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3560.0,3805.10963001003
Owen (1986),Water,0.401,0.0010016,998.2,Air,14.68,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3840.0,4055.6634633614
Owen (1986),Water,0.401,0.0010016,998.2,Air,15.82,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3880.0,4223.7270765177
Owen (1986),Water,0.401,0.0010016,998.2,Air,16.53,1.813e-05,2.85201423273461,0.0318,90.0,0.072,3940.0,4338.90510637672
Owen (1986),Water,0.401,0.0010016,998.2,Air,17.84,1.813e-05,2.85201423273461,0.0318,90.0,0.072,4000.0,4568.47135186306
Owen (1986),Water,0.401,0.0010016,998.2,Air,19.47,1.813e-05,2.85201423273461,0.0318,90.0,0.072,4220.0,4878.94517908807
Owen (1986),Water,0.401,0.0010016,998.2,Air,20.96,1.813e-05,2.85201423273461,0.0318,90.0,0.072,4390.0,5181.81492726049
Owen (1986),Water,0.401,0.0010016,998.2,Air,22.7,1.813e-05,2.85201423273461,0.0318,90.0,0.072,4600.0,5554.04182368223
Owen (1986),Water,0.401,0.0010016,998.2,Air,28.79,1.813e-05,2.85201423273461,0.0318,90.0,0.072,5350.0,6972.60732482455
Owen (1986),Water,0.401,0.0010016,998.2,Air,29.11,1.813e-05,2.85201423273461,0.0318,90.0,0.072,5070.0,7051.14303920534
Owen (1986),Water,0.401,0.0010016,998.2,Air,31.6,1.813e-05,2.85201423273461,0.0318,90.0,0.072,5260.0,7673.55135566232
Owen (1986),Water,0.401,0.0010016,998.2,Air,35.39,1.813e-05,2.85201423273461,0.0318,90.0,0.072,5750.0,8655.64224202107
Torres (1992),Water,0.0088,0.0009321,997.5,Air,4.5,1.827e-05,1.11795013128388,0.0318,0.0,0.072,17.76,12.6557488757195
Torres (1992),Water,0.0088,0.0009321,997.5,Air,9.27,1.827e-05,1.1173132817141,0.0318,0.0,0.072,38.42,42.5373770296832
Torres (1992),Water,0.0088,0.0009321,997.5,Air,12.14,1.827e-05,1.11334479373189,0.0318,0.0,0.072,66.63,67.5611414936246
Torres (1992),Water,0.0106,0.0009321,997.5,Air,16.75,1.827e-05,1.12292000463505,0.0318,0.0,0.072,163.03,121.23908682335
Torres (1992),Water,0.0128,0.0009321,997.5,Air,20.53,1.827e-05,1.12743453172013,0.0318,0.0,0.072,245.82,385.71097200521
