Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Liquid Volumetric Fraction [-],Model Holdup Prediction [-]
Ottens et al. (2001),Water,0.0968,0.00098,998.0,Air,14.4,1.79e-05,1.207,0.052,2.0,0.0735,0.0278,0.102809634358333
Ottens et al. (2001),Water,0.1245,0.00098,998.0,Air,14.39,1.79e-05,1.208,0.052,2.0,0.0735,0.0321,0.116860497379154
Ottens et al. (2001),Water-Glycerol,0.0389,0.002,1087.0,Air,5.03,1.8e-05,1.18,0.052,0.0,0.061,0.0463,0.185239386746697
Ottens et al. (2001),Water-Glycerol,0.0441,0.002,1087.0,Air,5.035,1.8e-05,1.18,0.052,0.0,0.061,0.0502,0.201543581813104
Ottens et al. (2001),Water-Glycerol,0.0515,0.002,1087.0,Air,5.03,1.8e-05,1.18,0.052,0.0,0.061,0.0557,0.223367464709815
Ottens et al. (2001),Water-Glycerol,0.0686,0.002,1087.0,Air,5.025,1.8e-05,1.18,0.052,0.0,0.061,0.0666,0.267478161159994
Ottens et al. (2001),Water-Glycerol,0.0983,0.002,1087.0,Air,5.019,1.8e-05,1.18,0.052,0.0,0.061,0.0834,0.329282514787471
Ottens et al. (2001),Water-Glycerol,0.1255,0.002,1087.0,Air,5.035,1.8e-05,1.18,0.052,0.0,0.061,0.099,0.373833621299687
Ottens et al. (2001),Water-Glycerol,0.0389,0.002,1087.0,Air,7.018,1.8e-05,1.18,0.052,0.0,0.061,0.0343,0.146389149372009
Ottens et al. (2001),Water-Glycerol,0.0445,0.002,1087.0,Air,7.013,1.8e-05,1.18,0.052,0.0,0.061,0.0377,0.161329664539898
Ottens et al. (2001),Water-Glycerol,0.0514,0.002,1087.0,Air,7.018,1.8e-05,1.18,0.052,0.0,0.061,0.0423,0.178418624378116
Ottens et al. (2001),Water-Glycerol,0.0694,0.002,1087.0,Air,7.023,1.8e-05,1.18,0.052,0.0,0.061,0.0517,0.218276348236448
Ottens et al. (2001),Water-Glycerol,0.0972,0.002,1087.0,Air,7.007,1.8e-05,1.18,0.052,0.0,0.061,0.0648,0.270072122111537
Ottens et al. (2001),Water-Glycerol,0.1244,0.002,1087.0,Air,7.028,1.8e-05,1.18,0.052,0.0,0.061,0.0749,0.311300970081271
Ottens et al. (2001),Water-Glycerol,0.1152,0.002,1087.0,Air,9.984,1.8e-05,1.18,0.052,0.0,0.061,0.0438,0.125303543016349
Ottens et al. (2001),Water-Glycerol,0.0906,0.002,1087.0,Air,9.995,1.8e-05,1.18,0.052,0.0,0.061,0.0376,0.2062110253252
Ottens et al. (2001),Water-Glycerol,0.0464,0.002,1087.0,Air,10.02,1.8e-05,1.18,0.052,0.0,0.061,0.0252,0.128230155657104
Ottens et al. (2001),Water-Glycerol,0.0406,0.002,1087.0,Air,10.03,1.8e-05,1.18,0.052,0.0,0.061,0.0229,0.115872216334515
Ottens et al. (2001),Water-Glycerol,0.0353,0.002,1087.0,Air,10.04,1.8e-05,1.18,0.052,0.0,0.061,0.0203,0.104005551922101
Ottens et al. (2001),Water-Glycerol,0.0631,0.002,1087.0,Air,10.01,1.8e-05,1.18,0.052,0.0,0.061,0.0307,0.160575660225738
Ottens et al. (2001),Water-Glycerol,0.039,0.002,1087.0,Air,12.49,1.8e-05,1.18,0.052,0.0,0.061,0.0179,0.0948220816934058
Ottens et al. (2001),Water-Glycerol,0.0363,0.002,1087.0,Air,12.48,1.8e-05,1.18,0.052,0.0,0.061,0.0168,0.0896711014393617
Ottens et al. (2001),Water-Glycerol,0.1151,0.002,1087.0,Air,12.43,1.8e-05,1.18,0.052,0.0,0.061,0.0333,0.11353037167218
Ottens et al. (2001),Water-Glycerol,0.0906,0.002,1087.0,Air,12.44,1.8e-05,1.18,0.052,0.0,0.061,0.0291,0.107957041741868
Ottens et al. (2001),Water-Glycerol,0.0634,0.002,1087.0,Air,12.5,1.8e-05,1.18,0.052,0.0,0.061,0.0234,0.137182922125396
Ottens et al. (2001),Water-Glycerol,0.048,0.002,1087.0,Air,12.47,1.8e-05,1.18,0.052,0.0,0.061,0.02,0.111510849026208
Ottens et al. (2001),Water-Glycerol,0.0352,0.002,1087.0,Air,9.521,1.8e-05,1.18,0.052,1.0,0.061,0.0326,0.103877279848019
Ottens et al. (2001),Water-Glycerol,0.0397,0.002,1087.0,Air,9.495,1.8e-05,1.18,0.052,1.0,0.061,0.0366,0.106803026710451
Ottens et al. (2001),Water-Glycerol,0.0469,0.002,1087.0,Air,9.495,1.8e-05,1.18,0.052,1.0,0.061,0.0406,0.110659945674389
Ottens et al. (2001),Water-Glycerol,0.0618,0.002,1087.0,Air,9.505,1.8e-05,1.18,0.052,1.0,0.061,0.0476,0.117030928319162
Ottens et al. (2001),Water-Glycerol,0.0354,0.002,1087.0,Air,10.95,1.8e-05,1.18,0.052,1.0,0.061,0.0233,0.0963845947427195
Ottens et al. (2001),Water-Glycerol,0.0396,0.002,1087.0,Air,10.95,1.8e-05,1.18,0.052,1.0,0.061,0.025,0.098888086831599
Ottens et al. (2001),Water-Glycerol,0.0469,0.002,1087.0,Air,10.91,1.8e-05,1.18,0.052,1.0,0.061,0.0274,0.102880973852039
Ottens et al. (2001),Water-Glycerol,0.0621,0.002,1087.0,Air,10.92,1.8e-05,1.18,0.052,1.0,0.061,0.0316,0.109176444758433
Ottens et al. (2001),Water-Glycerol,0.0882,0.002,1087.0,Air,10.94,1.8e-05,1.18,0.052,1.0,0.061,0.0378,0.117092966130963
Ottens et al. (2001),Water-Glycerol,0.1115,0.002,1087.0,Air,10.92,1.8e-05,1.18,0.052,1.0,0.061,0.0436,0.122654497075887
Ottens et al. (2001),Water-Glycerol,0.0866,0.002,1087.0,Air,9.516,1.8e-05,1.18,0.052,1.0,0.061,0.0555,0.124939261251069
Ottens et al. (2001),Water-Glycerol,0.1124,0.002,1087.0,Air,9.505,1.8e-05,1.18,0.052,1.0,0.061,0.0615,0.131323957256895
Ottens et al. (2001),Water-Glycerol,0.0342,0.002,1087.0,Air,7.981,1.8e-05,1.18,0.052,1.0,0.061,0.0905,0.113780347010572
Ottens et al. (2001),Water-Glycerol,0.0393,0.002,1087.0,Air,7.96,1.8e-05,1.18,0.052,1.0,0.061,0.0939,0.117241325397734
Ottens et al. (2001),Water-Glycerol,0.0473,0.002,1087.0,Air,7.965,1.8e-05,1.18,0.052,1.0,0.061,0.0955,0.1216202290354
Ottens et al. (2001),Water-Glycerol,0.1096,0.002,1087.0,Air,12.91,1.8e-05,1.18,0.052,1.0,0.061,0.0334,0.112748559249407
Ottens et al. (2001),Water-Glycerol,0.085,0.002,1087.0,Air,12.94,1.8e-05,1.18,0.052,1.0,0.061,0.0283,0.107004111117461
Ottens et al. (2001),Water-Glycerol,0.0601,0.002,1087.0,Air,12.94,1.8e-05,1.18,0.052,1.0,0.061,0.0226,0.0994370176599154
Ottens et al. (2001),Water-Glycerol,0.0449,0.002,1087.0,Air,12.92,1.8e-05,1.18,0.052,1.0,0.061,0.02,0.0932025111575113
Ottens et al. (2001),Water-Glycerol,0.0378,0.002,1087.0,Air,12.91,1.8e-05,1.18,0.052,1.0,0.061,0.0184,0.0895384835501098
Ottens et al. (2001),Water-Glycerol,0.0336,0.002,1087.0,Air,12.91,1.8e-05,1.18,0.052,1.0,0.061,0.0171,0.0870193024741936
Ottens et al. (2001),Water-Glycerol,0.1092,0.002,1087.0,Air,10.91,1.8e-05,1.18,0.052,2.0,0.061,0.0519,0.125692334683842
Ottens et al. (2001),Water-Glycerol,0.0842,0.002,1088.0,Air,10.9,1.8e-05,1.19,0.052,2.0,0.061,0.0457,0.119825566126542
Ottens et al. (2001),Water-Glycerol,0.0589,0.002,1088.0,Air,10.94,1.8e-05,1.19,0.052,2.0,0.061,0.0372,0.111876246849562
Ottens et al. (2001),Water-Glycerol,0.0448,0.002,1088.0,Air,10.96,1.8e-05,1.19,0.052,2.0,0.061,0.0324,0.105892979532511
