Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Liquid Volumetric Fraction [-],Model Holdup Prediction [-]
"Anumbe, N. C.(2018)",Water,2.4881,0.001,998.0,Air,0.934,2e-05,1.29,0.1016,60.0,0.072,0.87633,0.783709642494514
"Anumbe, N. C.(2018)",Water,2.80952,0.001,998.0,Air,0.934,2e-05,1.29,0.1016,60.0,0.072,0.85507,0.79859479603687
"Anumbe, N. C.(2018)",Water,0.625,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,60.0,0.072,0.71546,0.544393396678926
"Anumbe, N. C.(2018)",Water,0.9375,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,60.0,0.072,0.76473,0.595419960768956
"Anumbe, N. C.(2018)",Water,1.24702,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,60.0,0.072,0.78068,0.635352640928757
"Anumbe, N. C.(2018)",Water,1.55655,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,60.0,0.072,0.88116,0.66774602252337
"Anumbe, N. C.(2018)",Water,1.86905,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,60.0,0.072,0.84155,0.694797025207575
"Anumbe, N. C.(2018)",Water,2.18452,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,60.0,0.072,0.83671,0.717735093873458
"Anumbe, N. C.(2018)",Water,2.49405,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,60.0,0.072,0.85072,0.736928809931128
"Anumbe, N. C.(2018)",Water,2.80357,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,60.0,0.072,0.82367,0.753522821802018
"Anumbe, N. C.(2018)",Water,0.62202,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,60.0,0.072,0.66763,0.4971523782921
"Anumbe, N. C.(2018)",Water,0.93155,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,60.0,0.072,0.72512,0.547407537575233
"Anumbe, N. C.(2018)",Water,1.24702,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,60.0,0.072,0.73092,0.588866760305911
"Anumbe, N. C.(2018)",Water,1.55655,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,60.0,0.072,0.7087,0.62247406333642
"Anumbe, N. C.(2018)",Water,1.86905,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,60.0,0.072,0.74686,0.651014344122658
"Anumbe, N. C.(2018)",Water,2.17857,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,60.0,0.072,0.7657,0.675131201702888
"Anumbe, N. C.(2018)",Water,2.49107,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,60.0,0.072,0.79082,0.696159116224103
"Anumbe, N. C.(2018)",Water,2.80357,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,60.0,0.072,0.90048,0.714497800565938
"Anumbe, N. C.(2018)",Water,0.62202,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,60.0,0.072,0.62271,0.460130483507431
"Anumbe, N. C.(2018)",Water,0.93155,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,60.0,0.072,0.84734,0.509097532005164
"Anumbe, N. C.(2018)",Water,1.24405,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,60.0,0.072,0.71932,0.549977852513571
"Anumbe, N. C.(2018)",Water,1.55357,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,60.0,0.072,0.73527,0.584027056714855
"Anumbe, N. C.(2018)",Water,1.86607,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,60.0,0.072,0.72271,0.613350136627011
"Anumbe, N. C.(2018)",Water,2.17857,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,60.0,0.072,0.7657,0.638648514195197
"Anumbe, N. C.(2018)",Water,2.4881,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,60.0,0.072,0.80048,0.660509110824899
"Anumbe, N. C.(2018)",Water,2.80655,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,60.0,0.072,0.90145,0.680287147958214
"Anumbe, N. C.(2018)",Water,0.62202,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,60.0,0.072,0.57005,0.430241289173993
"Anumbe, N. C.(2018)",Water,0.9375,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,60.0,0.072,0.58068,0.47838382402685
"Anumbe, N. C.(2018)",Water,1.24702,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,60.0,0.072,0.66039,0.518072421570398
"Anumbe, N. C.(2018)",Water,1.55655,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,60.0,0.072,0.63527,0.551953306003894
"Anumbe, N. C.(2018)",Water,1.86905,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,60.0,0.072,0.6256,0.581483796887715
"Anumbe, N. C.(2018)",Water,2.1875,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,60.0,0.072,0.65024,0.60768526496714
"Anumbe, N. C.(2018)",Water,2.49405,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,60.0,0.072,0.73043,0.629874569284248
"Anumbe, N. C.(2018)",Water,2.80357,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,60.0,0.072,0.80918,0.649778205114633
"Anumbe, N. C.(2018)",Water,0.62202,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,60.0,0.072,0.50048,0.405544296559008
"Anumbe, N. C.(2018)",Water,0.93452,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,60.0,0.072,0.51304,0.451464721885444
"Anumbe, N. C.(2018)",Water,1.24702,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,60.0,0.072,0.58019,0.490598444304505
"Anumbe, N. C.(2018)",Water,1.55357,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,60.0,0.072,0.58213,0.523756037539052
"Anumbe, N. C.(2018)",Water,1.86905,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,60.0,0.072,0.61836,0.553518588488956
"Anumbe, N. C.(2018)",Water,2.18155,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,60.0,0.072,0.65797,0.579432615345566
"Anumbe, N. C.(2018)",Water,2.49107,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,60.0,0.072,0.6599,0.602202185968706
"Anumbe, N. C.(2018)",Water,2.80357,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,60.0,0.072,0.73043,0.622740302757503
"Anumbe, N. C.(2018)",Water,0.62151,0.001,998.0,Air,0.311,2e-05,1.29,0.1016,75.0,0.072,0.89849,0.798726328936672
"Anumbe, N. C.(2018)",Water,0.9305,0.001,998.0,Air,0.311,2e-05,1.29,0.1016,75.0,0.072,0.90352,0.749496576721707
"Anumbe, N. C.(2018)",Water,1.25101,0.001,998.0,Air,0.311,2e-05,1.29,0.1016,75.0,0.072,0.88492,0.800897561475278
"Anumbe, N. C.(2018)",Water,1.56025,0.001,998.0,Air,0.311,2e-05,1.29,0.1016,75.0,0.072,0.90704,0.83380093520374
"Anumbe, N. C.(2018)",Water,1.86956,0.001,998.0,Air,0.311,2e-05,1.29,0.1016,75.0,0.072,0.93367,0.857376086876765
"Anumbe, N. C.(2018)",Water,2.17789,0.001,998.0,Air,0.311,2e-05,1.29,0.1016,75.0,0.072,0.89447,0.875044698640759
"Anumbe, N. C.(2018)",Water,2.49946,0.001,998.0,Air,0.311,2e-05,1.29,0.1016,75.0,0.072,0.94673,0.889341958255943
"Anumbe, N. C.(2018)",Water,2.8085,0.001,998.0,Air,0.311,2e-05,1.29,0.1016,75.0,0.072,0.95578,0.90030453598333
"Anumbe, N. C.(2018)",Water,0.62025,0.001,998.0,Air,0.623,2e-05,1.29,0.1016,75.0,0.072,0.81357,0.675972067610461
"Anumbe, N. C.(2018)",Water,0.92943,0.001,998.0,Air,0.623,2e-05,1.29,0.1016,75.0,0.072,0.83166,0.725206639137153
"Anumbe, N. C.(2018)",Water,1.24752,0.001,998.0,Air,0.623,2e-05,1.29,0.1016,75.0,0.072,0.84975,0.761779849802726
"Anumbe, N. C.(2018)",Water,1.55401,0.001,998.0,Air,0.623,2e-05,1.29,0.1016,75.0,0.072,0.88693,0.788434167904697
"Anumbe, N. C.(2018)",Water,1.86883,0.001,998.0,Air,0.623,2e-05,1.29,0.1016,75.0,0.072,0.88442,0.749982944261847
"Anumbe, N. C.(2018)",Water,2.17835,0.001,998.0,Air,0.623,2e-05,1.29,0.1016,75.0,0.072,0.92563,0.777607225087904
"Anumbe, N. C.(2018)",Water,2.49254,0.001,998.0,Air,0.623,2e-05,1.29,0.1016,75.0,0.072,0.8809,0.800034664937699
"Anumbe, N. C.(2018)",Water,2.80173,0.001,998.0,Air,0.623,2e-05,1.29,0.1016,75.0,0.072,0.9,0.818087849261109
"Anumbe, N. C.(2018)",Water,0.61868,0.001,998.0,Air,0.934,2e-05,1.29,0.1016,75.0,0.072,0.70754,0.592349008666323
"Anumbe, N. C.(2018)",Water,0.92806,0.001,998.0,Air,0.934,2e-05,1.29,0.1016,75.0,0.072,0.7392,0.646245212445568
"Anumbe, N. C.(2018)",Water,1.24987,0.001,998.0,Air,0.934,2e-05,1.29,0.1016,75.0,0.072,0.80804,0.688560697289911
"Anumbe, N. C.(2018)",Water,1.55854,0.001,998.0,Air,0.934,2e-05,1.29,0.1016,75.0,0.072,0.79146,0.720277916185687
"Anumbe, N. C.(2018)",Water,1.86797,0.001,998.0,Air,0.934,2e-05,1.29,0.1016,75.0,0.072,0.82663,0.745927912504239
"Anumbe, N. C.(2018)",Water,2.17705,0.001,998.0,Air,0.934,2e-05,1.29,0.1016,75.0,0.072,0.83819,0.76703763954848
"Anumbe, N. C.(2018)",Water,2.49778,0.001,998.0,Air,0.934,2e-05,1.29,0.1016,75.0,0.072,0.83417,0.785351507963709
"Anumbe, N. C.(2018)",Water,2.80661,0.001,998.0,Air,0.934,2e-05,1.29,0.1016,75.0,0.072,0.82864,0.750308104827822
"Anumbe, N. C.(2018)",Water,0.62435,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,75.0,0.072,0.68995,0.533010141892392
"Anumbe, N. C.(2018)",Water,0.93335,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,75.0,0.072,0.69548,0.587311666142742
"Anumbe, N. C.(2018)",Water,1.24313,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,75.0,0.072,0.75427,0.630060942897185
"Anumbe, N. C.(2018)",Water,1.55235,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,75.0,0.072,0.77487,0.664462297691564
"Anumbe, N. C.(2018)",Water,1.86743,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,75.0,0.072,0.79045,0.693286258421472
"Anumbe, N. C.(2018)",Water,2.18256,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,75.0,0.072,0.80905,0.717376140326972
"Anumbe, N. C.(2018)",Water,2.49118,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,75.0,0.072,0.78945,0.737422548159903
"Anumbe, N. C.(2018)",Water,2.79983,0.001,998.0,Air,1.245,2e-05,1.29,0.1016,75.0,0.072,0.77186,0.7547010884656
"Anumbe, N. C.(2018)",Water,0.62067,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,75.0,0.072,0.64171,0.486373550259066
"Anumbe, N. C.(2018)",Water,0.93023,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,75.0,0.072,0.68543,0.539955932722527
"Anumbe, N. C.(2018)",Water,1.24539,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,75.0,0.072,0.70603,0.583851053658202
"Anumbe, N. C.(2018)",Water,1.55763,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,75.0,0.072,0.73065,0.619574083626425
"Anumbe, N. C.(2018)",Water,1.86705,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,75.0,0.072,0.76482,0.649225079723106
"Anumbe, N. C.(2018)",Water,2.17908,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,75.0,0.072,0.77487,0.674643928210341
"Anumbe, N. C.(2018)",Water,2.49132,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,75.0,0.072,0.79899,0.696523727803657
"Anumbe, N. C.(2018)",Water,2.80298,0.001,998.0,Air,1.556,2e-05,1.29,0.1016,75.0,0.072,0.78392,0.715515599722432
"Anumbe, N. C.(2018)",Water,0.61689,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,75.0,0.072,0.58744,0.44954709180367
"Anumbe, N. C.(2018)",Water,0.92927,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,75.0,0.072,0.6206,0.501951042509193
"Anumbe, N. C.(2018)",Water,1.24214,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,75.0,0.072,0.68744,0.545086790100848
"Anumbe, N. C.(2018)",Water,1.55116,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,75.0,0.072,0.69497,0.580760363504346
"Anumbe, N. C.(2018)",Water,1.86346,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,75.0,0.072,0.72312,0.611401701012653
"Anumbe, N. C.(2018)",Water,2.17565,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,75.0,0.072,0.74372,0.637741434551649
"Anumbe, N. C.(2018)",Water,2.49068,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,75.0,0.072,0.75578,0.660833230478619
"Anumbe, N. C.(2018)",Water,2.80283,0.001,998.0,Air,1.868,2e-05,1.29,0.1016,75.0,0.072,0.77387,0.680900413119829
"Anumbe, N. C.(2018)",Water,0.62216,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,75.0,0.072,0.54221,0.421516579776428
"Anumbe, N. C.(2018)",Water,0.93177,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,75.0,0.072,0.58894,0.4712936419284
"Anumbe, N. C.(2018)",Water,1.24139,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,75.0,0.072,0.63668,0.513009358430491
"Anumbe, N. C.(2018)",Water,1.55028,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,75.0,0.072,0.63568,0.548403229975922
"Anumbe, N. C.(2018)",Water,1.86527,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,75.0,0.072,0.64523,0.579442974389178
"Anumbe, N. C.(2018)",Water,2.18057,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,75.0,0.072,0.67487,0.606414289853466
"Anumbe, N. C.(2018)",Water,2.48987,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,75.0,0.072,0.70101,0.629628145689202
"Anumbe, N. C.(2018)",Water,2.7985,0.001,998.0,Air,2.179,2e-05,1.29,0.1016,75.0,0.072,0.68241,0.650146138851969
"Anumbe, N. C.(2018)",Water,0.61835,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,75.0,0.072,0.48593,0.397015376367056
"Anumbe, N. C.(2018)",Water,0.92821,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,75.0,0.072,0.54975,0.444818991178543
"Anumbe, N. C.(2018)",Water,1.24075,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,75.0,0.072,0.59397,0.485780810027358
"Anumbe, N. C.(2018)",Water,1.55263,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,75.0,0.072,0.59397,0.520924068528653
"Anumbe, N. C.(2018)",Water,1.86181,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,75.0,0.072,0.61206,0.55122435619397
"Anumbe, N. C.(2018)",Water,2.17411,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,75.0,0.072,0.6402,0.578090223450989
"Anumbe, N. C.(2018)",Water,2.48919,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,75.0,0.072,0.65578,0.602050503265611
"Anumbe, N. C.(2018)",Water,2.80122,0.001,998.0,Air,2.49,2e-05,1.29,0.1016,75.0,0.072,0.66533,0.623180604217612
Almabrok (2013),Water,0.07,0.0010798,998.974589449428,Air,0.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6952,0.766276562671908
Almabrok (2013),Water,0.1,0.0010798,998.974589449428,Air,0.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.7809,0.779296435613751
Almabrok (2013),Water,0.2,0.0010798,998.974589449428,Air,0.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.8341,0.813707552849769
Almabrok (2013),Water,0.3,0.0010798,998.974589449428,Air,0.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.8342,0.681818181818181
Almabrok (2013),Water,0.48,0.0010798,998.974589449428,Air,0.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.8351,0.774193548387096
Almabrok (2013),Water,0.7,0.0010798,998.974589449428,Air,0.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.8623,0.833333333333333
Almabrok (2013),Water,1.0,0.0010798,998.974589449428,Air,0.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.8747,0.87719298245614
Almabrok (2013),Water,1.2,0.0010798,998.974589449428,Air,0.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.8833,0.895522388059701
Almabrok (2013),Water,1.5,0.0010798,998.974589449428,Air,0.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.8952,0.914634146341463
Almabrok (2013),Water,0.07,0.0010798,998.974589449428,Air,0.25,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.594,0.657749928506744
Almabrok (2013),Water,0.1,0.0010798,998.974589449428,Air,0.25,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6786,0.673590035659456
Almabrok (2013),Water,0.2,0.0010798,998.974589449428,Air,0.25,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.7128,0.717096446912146
Almabrok (2013),Water,0.3,0.0010798,998.974589449428,Air,0.25,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.7457,0.750219805061792
Almabrok (2013),Water,0.48,0.0010798,998.974589449428,Air,0.25,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.7791,0.793427684406188
Almabrok (2013),Water,0.7,0.0010798,998.974589449428,Air,0.25,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.791,0.736842105263157
Almabrok (2013),Water,1.0,0.0010798,998.974589449428,Air,0.25,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.823,0.8
Almabrok (2013),Water,1.2,0.0010798,998.974589449428,Air,0.25,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.8268,0.827586206896551
Almabrok (2013),Water,1.5,0.0010798,998.974589449428,Air,0.25,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.8294,0.857142857142857
Almabrok (2013),Water,0.07,0.0010798,998.974589449428,Air,0.54,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4724,0.498384564486081
Almabrok (2013),Water,0.1,0.0010798,998.974589449428,Air,0.54,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5721,0.514396325876072
Almabrok (2013),Water,0.2,0.0010798,998.974589449428,Air,0.54,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5841,0.561025342170057
Almabrok (2013),Water,0.3,0.0010798,998.974589449428,Air,0.54,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6258,0.599391148611416
Almabrok (2013),Water,0.48,0.0010798,998.974589449428,Air,0.54,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6793,0.653667158586544
Almabrok (2013),Water,0.7,0.0010798,998.974589449428,Air,0.54,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.7304,0.702631500640982
Almabrok (2013),Water,1.0,0.0010798,998.974589449428,Air,0.54,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.7443,0.750391243516646
Almabrok (2013),Water,1.2,0.0010798,998.974589449428,Air,0.54,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.7459,0.774371713576068
Almabrok (2013),Water,1.5,0.0010798,998.974589449428,Air,0.54,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.7554,0.735294117647058
Almabrok (2013),Water,0.07,0.0010798,998.974589449428,Air,0.83,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4311,0.416431620630878
Almabrok (2013),Water,0.1,0.0010798,998.974589449428,Air,0.83,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5242,0.430639508706167
Almabrok (2013),Water,0.2,0.0010798,998.974589449428,Air,0.83,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5342,0.473331007337623
Almabrok (2013),Water,0.3,0.0010798,998.974589449428,Air,0.83,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5594,0.510004022277895
Almabrok (2013),Water,0.48,0.0010798,998.974589449428,Air,0.83,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6128,0.564451449181228
Almabrok (2013),Water,0.7,0.0010798,998.974589449428,Air,0.83,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6494,0.616355987079364
Almabrok (2013),Water,1.0,0.0010798,998.974589449428,Air,0.83,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6641,0.669753287489516
Almabrok (2013),Water,1.2,0.0010798,998.974589449428,Air,0.83,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.673,0.697670108971123
Almabrok (2013),Water,1.5,0.0010798,998.974589449428,Air,0.83,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6827,0.73154530025462
Almabrok (2013),Water,0.07,0.0010798,998.974589449428,Air,1.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.3836,0.363731768893477
Almabrok (2013),Water,0.1,0.0010798,998.974589449428,Air,1.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4653,0.376086906354766
Almabrok (2013),Water,0.2,0.0010798,998.974589449428,Air,1.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4866,0.413983885486346
Almabrok (2013),Water,0.3,0.0010798,998.974589449428,Air,1.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5101,0.447496593290169
Almabrok (2013),Water,0.48,0.0010798,998.974589449428,Air,1.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.551,0.498969726027551
Almabrok (2013),Water,0.7,0.0010798,998.974589449428,Air,1.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.605,0.550057959205999
Almabrok (2013),Water,1.0,0.0010798,998.974589449428,Air,1.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6118,0.604805053346324
Almabrok (2013),Water,1.2,0.0010798,998.974589449428,Air,1.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6141,0.634359860659695
Almabrok (2013),Water,1.5,0.0010798,998.974589449428,Air,1.14,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.6465,0.67112349982831
Almabrok (2013),Water,0.07,0.0010798,998.974589449428,Air,1.45,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.3447,0.329006256026556
Almabrok (2013),Water,0.1,0.0010798,998.974589449428,Air,1.45,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4357,0.33984184555746
Almabrok (2013),Water,0.2,0.0010798,998.974589449428,Air,1.45,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4494,0.37353893132032
Almabrok (2013),Water,0.3,0.0010798,998.974589449428,Air,1.45,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4685,0.403930691264231
Almabrok (2013),Water,0.48,0.0010798,998.974589449428,Air,1.45,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5071,0.451732646585093
Almabrok (2013),Water,0.7,0.0010798,998.974589449428,Air,1.45,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5327,0.500574990653579
Almabrok (2013),Water,1.0,0.0010798,998.974589449428,Air,1.45,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5543,0.554533461149598
Almabrok (2013),Water,1.2,0.0010798,998.974589449428,Air,1.45,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5773,0.584386607343026
Almabrok (2013),Water,1.5,0.0010798,998.974589449428,Air,1.45,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5935,0.622255841525712
Almabrok (2013),Water,0.07,0.0010798,998.974589449428,Air,2.42,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.2731,0.270204222262726
Almabrok (2013),Water,0.1,0.0010798,998.974589449428,Air,2.42,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.3546,0.277923613863996
Almabrok (2013),Water,0.2,0.0010798,998.974589449428,Air,2.42,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.3693,0.302505502695693
Almabrok (2013),Water,0.3,0.0010798,998.974589449428,Air,2.42,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.381,0.325454236456375
Almabrok (2013),Water,0.48,0.0010798,998.974589449428,Air,2.42,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4112,0.363136877570554
Almabrok (2013),Water,0.7,0.0010798,998.974589449428,Air,2.42,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4214,0.403792464216185
Almabrok (2013),Water,1.0,0.0010798,998.974589449428,Air,2.42,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4507,0.45146490013248
Almabrok (2013),Water,1.2,0.0010798,998.974589449428,Air,2.42,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4797,0.479185037341812
Almabrok (2013),Water,1.5,0.0010798,998.974589449428,Air,2.42,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.5037,0.515831409697793
Almabrok (2013),Water,0.07,0.0010798,998.974589449428,Air,3.05,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.2504,0.249886977704657
Almabrok (2013),Water,0.1,0.0010798,998.974589449428,Air,3.05,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.2998,0.256369918049476
Almabrok (2013),Water,0.2,0.0010798,998.974589449428,Air,3.05,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.3309,0.277186508241456
Almabrok (2013),Water,0.3,0.0010798,998.974589449428,Air,3.05,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.3408,0.296859914985486
Almabrok (2013),Water,0.48,0.0010798,998.974589449428,Air,3.05,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.3688,0.329677923148573
Almabrok (2013),Water,0.7,0.0010798,998.974589449428,Air,3.05,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.3776,0.365820223442404
Almabrok (2013),Water,1.0,0.0010798,998.974589449428,Air,3.05,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4038,0.409205176440938
Almabrok (2013),Water,1.2,0.0010798,998.974589449428,Air,3.05,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4343,0.434946512043074
Almabrok (2013),Water,1.5,0.0010798,998.974589449428,Air,3.05,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.4568,0.469574864982589
Almabrok (2013),Water,0.07,0.0010798,998.974589449428,Air,4.64,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.218,0.221409573925003
Almabrok (2013),Water,0.1,0.0010798,998.974589449428,Air,4.64,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.2588,0.226015503245521
Almabrok (2013),Water,0.2,0.0010798,998.974589449428,Air,4.64,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.2698,0.240980034280682
Almabrok (2013),Water,0.3,0.0010798,998.974589449428,Air,4.64,1.8013e-05,1.57395010178951,0.1016,90.0,0.072,0.2782,0.255373065545268
